Date,Customer_ID,News_Sentiment,Social_Media_Mentions,ESG_Score,Management_Quality,Supply_Chain_Risk,Brand_Reputation_Score,Regulatory_Risk_Score,Cyber_Risk_Score,Innovation_Index,Customer_Satisfaction,Employee_Satisfaction,Media_Coverage_Score,Patent_Filings,Legal_Cases_Active
2024-08-24,CUST_001,0.65,145,78,8.5,2.1,8.2,2.3,3.1,7.8,8.6,8.1,7.5,12,2
2024-08-24,CUST_002,-0.23,89,62,6.2,6.8,5.8,5.2,4.8,4.2,6.1,5.9,4.8,3,8
2024-08-24,CUST_003,0.41,112,71,7.3,3.4,7.1,3.1,3.5,6.8,7.4,7.2,6.9,8,3
2024-08-24,CUST_004,0.58,98,82,8.1,2.7,8.5,2.8,3.2,8.2,8.3,8.4,7.8,15,1
2024-08-24,CUST_005,-0.15,76,58,5.8,7.2,5.2,6.1,5.5,3.8,5.9,5.6,5.1,4,6
2024-08-24,CUST_006,0.72,189,85,9.2,1.8,9.1,1.9,2.8,8.8,9.1,8.9,8.6,8,0
2024-08-24,CUST_007,0.38,124,74,7.8,4.2,7.6,3.8,4.1,7.2,7.8,7.5,7.1,11,2
2024-08-24,CUST_008,-0.08,95,65,6.9,5.1,6.4,4.5,4.3,5.8,6.7,6.5,6.2,5,4
2024-08-24,CUST_009,-0.32,68,55,5.5,7.8,4.9,6.8,6.2,4.1,5.2,5.1,4.6,2,9
2024-08-24,CUST_010,0.51,118,79,8.0,3.1,8.1,3.2,3.4,7.9,8.2,8.0,7.6,13,1
2024-08-23,CUST_001,0.62,138,78,8.5,2.2,8.1,2.4,3.2,7.7,8.5,8.0,7.4,12,2
2024-08-23,CUST_002,-0.28,82,61,6.1,7.1,5.6,5.4,5.0,4.0,5.9,5.8,4.6,3,8
2024-08-23,CUST_003,0.35,108,70,7.2,3.6,6.9,3.3,3.7,6.6,7.2,7.1,6.7,8,3
2024-08-23,CUST_004,0.54,92,81,8.0,2.9,8.3,3.0,3.4,8.0,8.1,8.3,7.6,15,1
2024-08-23,CUST_005,-0.19,71,57,5.7,7.4,5.0,6.3,5.7,3.6,5.7,5.4,4.9,4,6
2024-08-23,CUST_006,0.68,182,84,9.1,2.0,8.9,2.1,3.0,8.6,8.9,8.7,8.4,8,0
2024-08-23,CUST_007,0.34,118,73,7.7,4.4,7.4,4.0,4.3,7.0,7.6,7.3,6.9,11,2
2024-08-23,CUST_008,-0.12,89,64,6.8,5.3,6.2,4.7,4.5,5.6,6.5,6.3,6.0,5,4
2024-08-23,CUST_009,-0.36,62,54,5.4,8.0,4.7,7.0,6.4,3.9,5.0,4.9,4.4,2,9
2024-08-23,CUST_010,0.47,112,78,7.9,3.3,7.9,3.4,3.6,7.7,8.0,7.8,7.4,13,1
2024-08-22,CUST_001,0.58,142,77,8.4,2.3,8.0,2.5,3.3,7.6,8.4,7.9,7.3,12,2
2024-08-22,CUST_002,-0.31,85,60,6.0,7.3,5.4,5.6,5.2,3.8,5.7,5.6,4.4,3,9
2024-08-22,CUST_003,0.29,105,69,7.1,3.8,6.7,3.5,3.9,6.4,7.0,6.9,6.5,7,4
2024-08-22,CUST_004,0.50,88,80,7.9,3.1,8.1,3.2,3.6,7.8,7.9,8.1,7.4,14,2
2024-08-22,CUST_005,-0.23,68,56,5.6,7.6,4.8,6.5,5.9,3.4,5.5,5.2,4.7,3,7
2024-08-22,CUST_006,0.64,176,83,9.0,2.2,8.7,2.3,3.2,8.4,8.7,8.5,8.2,7,1
2024-08-22,CUST_007,0.30,115,72,7.6,4.6,7.2,4.2,4.5,6.8,7.4,7.1,6.7,10,3
2024-08-22,CUST_008,-0.16,86,63,6.7,5.5,6.0,4.9,4.7,5.4,6.3,6.1,5.8,4,5
2024-08-22,CUST_009,-0.40,58,53,5.3,8.2,4.5,7.2,6.6,3.7,4.8,4.7,4.2,1,10
2024-08-22,CUST_010,0.43,108,77,7.8,3.5,7.7,3.6,3.8,7.5,7.8,7.6,7.2,12,2
2024-08-21,CUST_001,0.55,148,76,8.3,2.4,7.9,2.6,3.4,7.5,8.3,7.8,7.2,11,3
2024-08-21,CUST_002,-0.35,79,59,5.9,7.5,5.2,5.8,5.4,3.6,5.5,5.4,4.2,2,9
2024-08-21,CUST_003,0.25,102,68,7.0,4.0,6.5,3.7,4.1,6.2,6.8,6.7,6.3,7,4
2024-08-21,CUST_004,0.46,85,79,7.8,3.3,7.9,3.4,3.8,7.6,7.7,7.9,7.2,14,2
2024-08-21,CUST_005,-0.27,65,55,5.5,7.8,4.6,6.7,6.1,3.2,5.3,5.0,4.5,3,7
2024-08-21,CUST_006,0.60,171,82,8.9,2.4,8.5,2.5,3.4,8.2,8.5,8.3,8.0,7,1
2024-08-21,CUST_007,0.26,112,71,7.5,4.8,7.0,4.4,4.7,6.6,7.2,6.9,6.5,10,3
2024-08-21,CUST_008,-0.20,83,62,6.6,5.7,5.8,5.1,4.9,5.2,6.1,5.9,5.6,4,5
2024-08-21,CUST_009,-0.44,55,52,5.2,8.4,4.3,7.4,6.8,3.5,4.6,4.5,4.0,1,10
2024-08-21,CUST_010,0.39,105,76,7.7,3.7,7.5,3.8,4.0,7.3,7.6,7.4,7.0,12,2
2024-08-20,CUST_001,0.52,151,75,8.2,2.5,7.8,2.7,3.5,7.4,8.2,7.7,7.1,11,3
2024-08-20,CUST_002,-0.38,76,58,5.8,7.7,5.0,6.0,5.6,3.4,5.3,5.2,4.0,2,10
2024-08-20,CUST_003,0.21,99,67,6.9,4.2,6.3,3.9,4.3,6.0,6.6,6.5,6.1,6,5
2024-08-20,CUST_004,0.42,82,78,7.7,3.5,7.7,3.6,4.0,7.4,7.5,7.7,7.0,13,3
2024-08-20,CUST_005,-0.31,62,54,5.4,8.0,4.4,6.9,6.3,3.0,5.1,4.8,4.3,3,8
2024-08-20,CUST_006,0.56,168,81,8.8,2.6,8.3,2.7,3.6,8.0,8.3,8.1,7.8,6,2
2024-08-20,CUST_007,0.22,109,70,7.4,5.0,6.8,4.6,4.9,6.4,7.0,6.7,6.3,9,4
2024-08-20,CUST_008,-0.24,80,61,6.5,5.9,5.6,5.3,5.1,5.0,5.9,5.7,5.4,3,6
2024-08-20,CUST_009,-0.48,52,51,5.1,8.6,4.1,7.6,7.0,3.3,4.4,4.3,3.8,0,11
2024-08-20,CUST_010,0.35,102,75,7.6,3.9,7.3,4.0,4.2,7.1,7.4,7.2,6.8,11,3
