Customer_ID,Year,Quarter,Current_Ratio,Debt_to_Equity,ROA,Interest_Coverage,Cash_Flow_Operations,Revenue_Growth,EBIT_Margin,Net_Profit_Margin,Asset_Turnover,Inventory_Turnover,Working_Capital,Quick_Ratio,Cash_Ratio,Total_Assets,Total_Debt,Total_Equity,Market_Value
CUST_001,2024,Q2,2.1,0.45,0.12,8.5,0.15,0.18,0.22,0.15,1.2,8.5,850,1.8,0.85,4800,1200,2667,25000
CUST_001,2024,Q1,2.3,0.42,0.14,9.2,0.16,0.15,0.24,0.16,1.18,8.8,920,2.0,0.92,4600,1104,2629,24500
CUST_001,2023,Q4,2.0,0.48,0.11,7.8,0.14,0.22,0.20,0.13,1.15,7.9,780,1.6,0.78,4400,1232,2568,23800
CUST_001,2023,Q3,1.8,0.52,0.10,6.9,0.13,0.28,0.18,0.11,1.22,7.2,680,1.4,0.65,4200,1310,2520,22900
CUST_001,2023,Q2,1.9,0.55,0.09,6.2,0.12,0.12,0.16,0.09,1.25,6.8,720,1.5,0.68,4000,1320,2400,22100
CUST_001,2023,Q1,2.2,0.38,0.13,9.8,0.17,0.25,0.23,0.17,1.16,8.2,890,1.9,0.88,3900,948,2495,21800
CUST_001,2022,Q4,1.7,0.58,0.08,5.8,0.11,0.08,0.14,0.08,1.28,6.1,580,1.3,0.58,3800,1292,2228,21200
CUST_001,2022,Q3,1.6,0.62,0.07,5.2,0.10,0.35,0.12,0.06,1.31,5.9,520,1.2,0.52,3650,1378,2222,20500
CUST_001,2022,Q2,2.4,0.35,0.15,11.2,0.18,0.32,0.26,0.19,1.13,9.1,980,2.1,0.96,3500,765,2186,20800
CUST_001,2022,Q1,2.0,0.41,0.12,8.9,0.15,0.18,0.21,0.14,1.19,8.4,820,1.7,0.81,3400,854,2083,19900
CUST_002,2024,Q2,1.2,1.8,0.06,2.1,0.08,-0.05,0.12,0.04,0.95,3.2,180,0.9,0.32,5200,4680,2600,15000
CUST_002,2024,Q1,1.4,1.6,0.07,2.8,0.09,0.08,0.14,0.05,0.98,3.8,220,1.1,0.41,5000,4000,2500,14800
CUST_002,2023,Q4,1.3,1.7,0.05,2.3,0.07,0.15,0.11,0.03,0.92,3.1,160,1.0,0.35,4900,4165,2450,14200
CUST_002,2023,Q3,1.1,2.0,0.04,1.9,0.06,0.18,0.09,0.02,0.89,2.8,120,0.8,0.28,4800,4800,2400,13800
CUST_002,2023,Q2,1.0,2.2,0.03,1.5,0.05,0.25,0.07,0.01,0.86,2.5,80,0.7,0.24,4700,5170,2350,13200
CUST_002,2023,Q1,1.5,1.4,0.08,3.2,0.10,0.22,0.16,0.06,1.02,4.1,280,1.2,0.48,4600,3864,2760,14500
CUST_002,2022,Q4,1.2,1.9,0.05,2.0,0.07,0.12,0.10,0.03,0.88,2.9,140,0.9,0.31,4500,4275,2250,13600
CUST_002,2022,Q3,1.0,2.3,0.02,1.2,0.04,0.28,0.05,0.00,0.82,2.2,60,0.6,0.20,4400,5060,2200,12900
CUST_002,2022,Q2,1.6,1.3,0.09,3.8,0.11,0.31,0.18,0.07,1.05,4.5,320,1.3,0.52,4300,3354,2581,14200
CUST_002,2022,Q1,1.4,1.5,0.07,2.9,0.09,0.19,0.15,0.05,0.99,3.9,240,1.1,0.45,4200,3150,2100,13800
CUST_003,2024,Q2,1.8,0.65,0.09,5.2,0.12,0.14,0.16,0.11,1.08,6.2,420,1.5,0.68,2100,910,1400,8000
CUST_003,2024,Q1,1.9,0.62,0.10,5.8,0.13,0.18,0.17,0.12,1.11,6.8,460,1.6,0.72,2050,881,1421,7900
CUST_003,2023,Q4,1.7,0.72,0.08,4.5,0.10,0.22,0.14,0.09,1.05,5.8,380,1.4,0.61,2000,936,1300,7600
CUST_003,2023,Q3,1.6,0.78,0.07,4.0,0.09,0.28,0.12,0.07,1.02,5.2,340,1.3,0.55,1950,951.9,1220,7300
CUST_003,2023,Q2,1.5,0.85,0.06,3.5,0.08,0.15,0.10,0.05,0.98,4.8,290,1.2,0.48,1900,969,1140,7000
CUST_003,2023,Q1,2.0,0.58,0.11,6.5,0.14,0.25,0.19,0.13,1.15,7.2,520,1.7,0.78,1850,678,1170,7800
CUST_003,2022,Q4,1.6,0.75,0.07,3.8,0.09,0.18,0.13,0.08,1.01,5.1,320,1.3,0.52,1800,810,1080,7200
CUST_003,2022,Q3,1.4,0.82,0.06,3.2,0.08,0.32,0.11,0.06,0.97,4.7,280,1.1,0.45,1750,871,1063,6800
CUST_003,2022,Q2,2.1,0.55,0.12,7.2,0.15,0.29,0.20,0.14,1.18,7.8,580,1.8,0.82,1700,637,1159,7500
CUST_003,2022,Q1,1.8,0.68,0.08,4.8,0.11,0.21,0.15,0.10,1.06,6.0,420,1.5,0.65,1650,748,1100,7100
